ArticleID,ExpertID,CategoryID,Subject,Thumbnail,PostTime,ClickCount,ReadBook,CreateUserID,CreateUserName,CreateTime,ModifyUserID,ModifyUserName,ModifyTime,SubCategoryID,PlatformType,DeleteStatus
11,5,1,專家告訴你 30、40、50歲應該做哪些事，在台灣也能優雅地老去！,09d890dd-913e-4900-8951-20874181ba42.jpg,2016-05-25 00:00:00.000,31096,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:53:59.273,NULL,1,0
12,5,1,五十歲世代，該為退休做好的三項準備,57f80724-924b-4e46-84e2-2f2cb28853e8.jpg,2016-05-25 00:00:00.000,36231,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:54:27.837,NULL,1,0
13,9,1,到了明天，只剩妻子不離不棄的愛－《明日的記憶》,cb75473a-63b3-46f3-9c15-a2d34b6bdf77.jpg,2016-05-25 00:00:00.000,7715,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:54:50.993,NULL,1,0
14,9,1,12歲小男孩，活出沒有遺憾的人生《永遠在一起 / Ways To Live Forever》,8ecf108b-8ccd-433c-90de-89d74ffd32ae.jpg,2016-05-25 00:00:00.000,13146,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:58:55.790,NULL,1,0
15,9,1,《Front of the class / 叫我第一名》 絕對不要讓任何事情阻礙你追求自己的夢想,bd9a9689-bba7-48fc-9fff-b61d3b57bf5a.jpg,2016-05-25 00:00:00.000,5589,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:00:03.353,NULL,1,0
16,9,2,《Still Alice / 我想念我自己》讀後感想 – 記不起昨天，到不了明天，活在當下的一日哲學,d7b0f2bd-a4bd-49ab-b4d7-f1b790283f0d.jpg,2016-05-25 00:00:00.000,8441,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:00:33.587,NULL,1,0
17,5,6,有愛無礙，一通電話送到家：無障礙計程車整理,36f63e17-e99f-48f1-90a3-c414bc36f52d.jpg,2016-05-25 00:00:00.000,117693,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:09:47.463,NULL,1,0
18,5,3,家人罹患失智症怎麼辦？快快報名「瑞智學堂」,346e7865-9cb8-48c5-bf16-a182a90b50d9.jpg,2016-05-25 00:00:00.000,18840,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:08:58.090,NULL,1,0
19,15,2,從《妻子的記憶》談失智症的預立醫療自主計畫,3d2efc1d-39e6-4783-b1ad-c1f5a7652453.jpg,2016-05-25 00:00:00.000,11008,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:07:53.197,NULL,1,0
20,6,4,【在家就能做】失智症快篩AD-8量表，及早發現及早治療,59e3be90-811a-464a-a31d-ff9a45f0e4fc.jpg,2016-05-25 00:00:00.000,59467,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:07:22.353,NULL,1,0
21,5,4,不易早期察覺的失智症－額顳葉型失智症,05f190a2-99db-46c8-87b2-f74e269bb5b1.jpg,2016-05-25 00:00:00.000,61497,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:07:01.433,NULL,1,0
22,7,2,爺爺奶奶失去記憶卻不會失去愛－請讀給孩子聽的5本失智症繪本,edb8c3c1-7eff-49c7-85dc-f4ce0e27e25f.jpg,2016-05-25 00:00:00.000,16313,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:06:02.417,NULL,1,0
23,5,4,失智症不是只有阿茲海默症，容易出現精神病狀的「路易氏體失智症」,f98fcb9d-ab59-4d59-b7fc-ef459d40bec2.jpg,2016-05-25 00:00:00.000,59412,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:05:29.120,NULL,1,0
24,7,4,黃昏不要來！讓失智症家屬傷透腦筋的「日落症候群」,8038a177-6b5c-4e8a-bfbb-2ba8aad3aad2.jpg,2016-05-25 00:00:00.000,32352,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:12:56.137,NULL,1,0
25,5,4,劉秀枝－失眠竟是失智症前兆？,42e5ca88-546a-4044-a804-95627df660a5.jpg,2016-07-01 00:00:00.000,56220,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:13:17.870,NULL,1,0
26,5,4,劉秀枝－唱卡拉OK可以治療失智症嗎？,1e5e809b-354b-4260-a487-d0374ad450d3.jpg,2016-05-25 00:00:00.000,23230,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:14:00.997,NULL,1,0
27,5,4,劉秀枝－失智症患者的手術不只是手術,54353991-2f19-4a68-975c-56d4927ed434.jpg,2016-05-25 00:00:00.000,14231,NULL,NULL,NULL,NULL,1,系統管理員,2017-09-14 13:30:12.667,NULL,1,0
28,5,4,【失智症怎麼照顧？】天天複習－每日照護的基本原則,078740b7-fbe8-4af0-9e36-edf980954885.jpg,2016-05-25 00:00:00.000,21675,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:14:33.090,NULL,1,0
29,6,4,【失智症並非正常老化】輕、中、重度失智症的照護要點,7eb18087-3b29-4672-ae03-cd1d25b0d564.jpg,2016-05-25 00:00:00.000,84308,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:15:17.497,NULL,1,0
30,5,4,失智症患者的在地老化-查詢你家附近有沒有「樂智社區」,dd9ea679-62e0-474c-a0cf-52bd3a7e65b3.jpg,2016-05-25 00:00:00.000,29214,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:16:25.310,NULL,1,0
31,5,4,生病也能擁有一口好牙！3要點做好失智症的口腔清潔,bba614c9-cef6-4b14-b8c7-8add28983666.jpg,2016-05-25 00:00:00.000,16823,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:17:25.887,NULL,1,0
32,5,6,身心障礙手冊如何申請？身心障礙者的福利與服務一覽表,770bbd54-5b58-44b9-bf74-933be9bc37a6.jpg,2016-05-25 00:00:00.000,434123,NULL,NULL,NULL,NULL,1,系統管理員,2019-08-19 07:48:19.813,NULL,1,1
33,8,3,【朱國鳳專欄】長期照護者不要「萬萬稅」！備妥醫療收據，長照家庭更須懂節稅,d2a22c3a-1cd5-40df-8761-1d1b750e56f8.jpg,2016-05-25 00:00:00.000,44473,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:19:22.137,NULL,1,0
34,10,1,那些病人教會我的事：「面對他人無心的言語，要學會釋懷；面對疾病的傷害，要勇於承擔。」,f1bbba66-f641-4fc7-8cc9-480ed50a4e65.jpg,2016-05-25 00:00:00.000,6065,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:22:03.873,NULL,1,0
35,11,2,朱為民－面對末期病人與家屬：沉默，有時比言語更有力量,754126f5-161c-4ec4-843e-6b4edd20298b.jpg,2016-05-25 00:00:00.000,15649,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:26:23.840,NULL,1,0
36,11,2,朱為民－安寧緩和療護：常見三大迷思,806fef49-a5db-44f1-8db8-8b4f700c6f8c.jpg,2016-05-25 00:00:00.000,51882,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:26:47.310,NULL,1,0
37,10,1,老人家適合什麼運動呢？「體能活動金字塔」帶領長輩適當、適量的運動,7be87ac5-b232-44cc-9cd6-e800e7d823d7.jpg,2016-05-25 00:00:00.000,37209,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:27:21.763,NULL,1,0
38,8,3,【朱國鳳專欄】對抗長照風險，保單到底怎麼買？兩道防護讓你省錢又安心,5e9a14fc-f4b5-4c7f-b4bb-d63466657f02.jpg,2016-05-25 00:00:00.000,27942,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:28:00.403,NULL,1,0
39,12,3,日照進階再升級，可夜宿的【小規模多機能】,6308ac6b-79d8-4acf-b991-888dea6c15c0.jpg,2016-05-25 00:00:00.000,33076,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:28:34.340,NULL,1,0
40,3,2,當父親癌末倒下，年輕人要如何扛起家計？在爭吵之前，你可以做的三件事－諮商心理師 艾彼,5c625f66-712f-4fcb-9792-846587e7b883.jpg,2016-05-25 00:00:00.000,13140,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:31:12.390,NULL,1,0
41,10,3,長期臥床更須居家復健－減少（壓傷）褥瘡、延緩關節攣縮,818a897e-bc93-40f3-8393-63beb7eee67d.jpg,2016-05-25 00:00:00.000,19320,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:31:54.247,NULL,1,0
42,5,3,【照護技巧】退化性關節炎的日常照護與保健,76fd9279-b512-411d-9b33-087c7ac5328b.jpg,2016-05-25 00:00:00.000,37956,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:32:45.827,NULL,1,0
43,12,3,【重要輔具介紹】飲食輔具不可少 解決長者吃的煩惱,cb546197-5cd2-43f1-96c0-3819848b418e.jpg,2016-05-25 00:00:00.000,21074,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:33:50.217,NULL,1,0
44,4,1,獨居的老後，要如何活得幸福又快樂？－諮商心理師 張璇,3d822ce1-f1a1-4a15-b015-a12d83d8b036.jpg,2016-05-25 00:00:00.000,29309,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:38:05.250,NULL,1,0
45,4,2,面對困境，正向思考不是萬靈丹－諮商心理師 張璇,430306ab-e6a4-45ca-b807-8e008f32e755.jpg,2016-05-25 00:00:00.000,26564,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:38:45.640,NULL,1,0
47,8,5,【朱國鳳專欄】博愛座越來越不夠坐 長照2.0真能照顧我們的老後嗎？,af0b096a-2b3f-4f88-bcf3-371ecf23d8b5.jpg,2016-05-25 00:00:00.000,19991,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:39:08.407,NULL,1,0
48,5,4,【日常照護】巴金森氏症的日常照護,5cad7c17-a95b-4503-952a-78d61c04c899.jpg,2016-05-25 00:00:00.000,55564,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:40:05.843,NULL,1,0
49,5,6,你相信嗎？輪椅代步五年也可以站起來－你不可不知的「中期照護」,A__6WSEL1nn1u5fiURSZuUNfBowvWCnH6.jpg,2016-05-25 00:00:00.000,17570,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:40:36.093,NULL,1,0
50,80,1,遠離隱形殺手 六原則預防腦中風,e10b5c5d-ccc2-4665-8657-3d3a6d8d333c.jpg,2016-05-25 00:00:00.000,20253,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:41:51.453,NULL,1,0
51,7,3,當在海岸線盡頭，遇見的是失智奶奶－在花蓮，默默守護老人的門諾基金會,e4843e85-5547-47c2-a721-0f53e080a41d.jpg,2016-05-25 00:00:00.000,8749,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:42:09.013,NULL,1,0
52,5,1,把握黃金三小時，辨別中風四步驟，預防中風八守則,7791f7cd-df0b-4e8b-8b7f-3e774bcbcc69.jpg,2016-05-25 00:00:00.000,67579,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:42:35.310,NULL,1,0
53,8,1,【朱國鳳專欄】退休後錢從哪裡來？五項銀髮金融商品有解,31c7f8b9-248c-45e0-aac2-5d5f966da14f.jpg,2016-05-25 00:00:00.000,27649,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:45:16.657,NULL,1,0
54,5,3,【照護技巧】床上便盆的使用方法,8511fc94-ed65-49c4-b758-7b9b69468dcb.jpg,2016-05-25 00:00:00.000,49743,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 17:44:21.170,NULL,1,0
55,7,3,阿嬤的幸福心願 是一碗小小的鳳梨冰…….如果你是照顧者，願意滿足她嗎？,905102b4-6b3d-49c0-9a71-7a920bf03660.jpg,2016-05-25 00:00:00.000,9131,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:10:28.237,NULL,1,0
56,7,1,長者飲食照護怎麼做？營養師教你做長者「快樂餐」,4613512a-f413-4342-bf26-2c9b65bb9e34.jpg,2016-05-25 00:00:00.000,13249,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:10:51.970,NULL,1,0
57,10,6,查查看，關懷據點就在你家隔壁嗎？讓爸媽在社區裡，輕鬆健身、交朋友,278b5cc5-dd91-4b1c-966c-59c8d97874a9.jpg,2016-05-25 00:00:00.000,27003,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:11:17.190,NULL,1,0
58,5,4,是病了還是老了？認識「面具臉」巴金森氏症,87b9902a-b271-4218-ba00-385d22c3ae8f.jpg,2016-05-25 00:00:00.000,67622,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:13:22.377,NULL,1,0
59,5,1,銀髮族常見慢性病和預防方法,ef1bffa7-2b88-4fb3-be4c-da230a790ab7.jpg,2016-05-25 00:00:00.000,33261,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:14:21.847,NULL,1,0
60,90,4,【照顧技巧】糖尿病的日常生活照顧,7fa293dd-03ab-46f7-9127-e85068956a15.jpg,2016-05-25 00:00:00.000,32529,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:15:59.487,NULL,1,0
61,12,3,【重要輔具介紹】只要幾種「如廁輔具」，讓上廁所變得更容易,3b398b6b-decc-43fe-838c-cf764448e956.jpg,2016-05-25 00:00:00.000,36868,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:16:26.237,NULL,1,0
62,90,1,【照顧技巧】導尿管留置時的居家照護,0bf5aa9f-6cd8-4bb5-875c-165587056f95.jpg,2016-05-25 00:00:00.000,78718,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:16:59.127,NULL,1,0
63,5,3,【照護技巧】長期照護，更需要做好口腔護理,ecb3ea22-c932-4f66-b1b2-a667b1a68d24.jpg,2016-05-25 00:00:00.000,26906,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:19:28.550,NULL,1,0
64,80,1,老人常見的便祕困擾！7大方法幫你制伏它（內有影片）,b5dccc32-2e35-4297-baba-0b20f2a7bae7.jpg,2016-05-25 00:00:00.000,87402,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:20:30.110,NULL,1,0
65,80,3,【照護技巧】長期臥床引起的肌肉萎縮照護,58a9a026-e2d5-4035-b52b-a1a0fd1fc78f.jpg,2016-05-25 00:00:00.000,72608,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:23:46.033,NULL,1,0
66,5,6,【臺灣老人假牙補助】一般老人及中低收入戶補助辦法,A__vMHgvqJ423SBhZDZB62MF3iVfeigFl.png,2016-05-25 00:00:00.000,79280,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:24:30.220,NULL,1,1
67,5,1,臺灣各縣市社會局、社會處整理一覽表,416102fd-5384-4469-89bf-a482dd8ba2a5.jpg,2016-05-25 00:00:00.000,46309,NULL,NULL,NULL,NULL,1,系統管理員,2019-03-19 14:01:57.083,NULL,1,0
68,5,3,長期照護的「擺位技巧訓練」（內有影片）,7754ef5e-b8be-4269-add8-23013b2d626f.jpg,2016-05-25 00:00:00.000,129237,NULL,NULL,NULL,NULL,1,系統管理員,2019-07-30 12:03:49.037,NULL,1,0
69,5,3,【照護技巧】管灌餵食與鼻胃管的照護技巧,bf36739e-974e-4488-8222-6cd76404f6e4.jpg,2016-05-25 00:00:00.000,92870,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:29:14.393,NULL,1,0
70,5,3,【解救溝通不良症】長期照護，快要撐不下去了嗎？,c863b3a0-0722-4155-93e6-48e1d467e8fa.jpg,2016-05-25 00:00:00.000,9660,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:30:36.033,NULL,1,0
71,5,3,【解救溝通不良症】聰明溝通可以幫上忙,0a87f7a2-fefb-43ba-a8ae-f42900723c63.jpg,2016-05-25 00:00:00.000,15173,NULL,NULL,NULL,NULL,1,系統管理員,2018-03-27 16:07:49.713,NULL,1,0
72,5,3,【重要輔具介紹】洗得安心又享受！就用「沐浴輔具」提高生活品質,68ae3c08-9d77-45d2-b45f-2a9b8cede4bd.jpg,2016-05-25 00:00:00.000,110086,NULL,NULL,NULL,NULL,1,系統管理員,2019-03-06 09:41:05.650,NULL,1,0
73,12,3,【重要輔具介紹】改善長者生活品質的20種輔具,6d49e36c-71ae-4afe-81ae-424185b63ae7.jpg,2016-05-25 00:00:00.000,48347,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:31:55.393,NULL,1,0
74,7,3,【長照實用推薦】哪裡有床位呢？臺北市機構空位查詢,c3f43db3-dd4f-4529-a3e7-0d667ee6312e.jpg,2016-05-25 00:00:00.000,22716,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:32:21.473,NULL,1,0
75,11,2,朱為民－面對末期病人，說出以下三句話時請先思考一下,9dbc90f7-0922-451d-899d-090a311f62c0.jpg,2016-05-25 00:00:00.000,30991,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:42:34.397,NULL,1,0
76,5,1,要怎麼成為「臺灣之光」？銀髮引導員告訴你！《親愛的，我老了－與時間對話》,907f0687-326f-4f34-b73b-4c66c28a5a7d.jpg,2016-05-25 00:00:00.000,5647,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:41:48.050,NULL,1,0
77,5,3,不良於行？ 四種必備輔具讓你好好走,84c610e0-7ea6-4e15-bf00-8c38fb60b7fb.jpg,2016-05-25 00:00:00.000,13667,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:40:30.583,NULL,1,0
78,5,3,選機構 三招教你看懂基本資料,1d6c4ced-0130-48b0-af41-113249412f19.jpg,2016-05-25 00:00:00.000,25222,NULL,NULL,NULL,NULL,1,系統管理員,2017-09-29 11:37:30.100,NULL,1,0
79,5,6,「中期照護」讓生病的老人家，有復原的機會,52b866d5-0ff6-4f7d-adcc-e1c5fefdccdb.jpg,2016-05-25 00:00:00.000,16842,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:39:34.240,NULL,1,0
80,80,3,【照護技巧】預防尿布疹的重點照護,c2533908-4cf2-4114-87a0-48475647c725.jpg,2016-05-25 00:00:00.000,40370,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:38:56.410,NULL,1,0
81,5,4,公認最具保護作用的「地中海飲食」可減緩失智症的發生,422c8728-61dc-4024-8ea9-1f61f8c68927.jpg,2016-05-25 00:00:00.000,15729,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:37:34.240,NULL,1,0
82,5,6,預防失智老人走失－別忘了申請輔具GPS系統,eefc34e1-60f7-4813-85ba-c0b2fe03b41e.jpg,2016-05-25 00:00:00.000,91565,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:37:06.440,NULL,1,0
83,7,1,「我玩得很開心，還沒想到要退休」大媽尹宏地的不老秘訣,70f0c0ff-4779-428f-a85c-637b8d8a043a.jpg,2016-05-25 00:00:00.000,8976,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:36:42.473,NULL,1,0
84,5,1,安寧緩和醫療 台日經驗大不同,1abf6b8c-586a-4a75-a782-1b62995939d9.jpg,2016-05-25 00:00:00.000,10042,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:35:36.910,NULL,1,0
85,12,6,讓家人在社區裡慢慢變老－日間照顧的公共托老中心,b69d5db9-4b36-4550-8577-b50562d33f81.jpg,2016-05-25 00:00:00.000,92137,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:44:29.850,NULL,1,0
86,7,1,長者也有靈魂－林口托老中心用「家族排列」，幫失智長者卸下悲傷與防衛,6b0f72a3-b887-4219-8ffa-981e7be5e93e.jpg,2016-05-25 00:00:00.000,15446,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:44:51.113,NULL,1,0
87,7,2,北醫學生：「長照不能再單打獨鬥，需要跨領域整合服務。」,bb0311cc-7381-4a4e-a43c-a757d3baec53.jpg,2016-05-25 00:00:00.000,12718,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:45:09.443,NULL,1,0
88,7,3,照顧者女性居多……是歧視女性？還是歧視男性？別傻了，是歧視「照顧」這件事,94172abd-dbf2-436f-963c-654ae8010cff.jpg,2016-05-25 00:00:00.000,13469,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:45:39.037,NULL,1,0
89,12,5,「安養院像監獄？」貼標籤之前，想想臺灣的安養環境出了什麼事？,3c1585d0-edce-4ef4-b30b-7c37640a8097.jpg,2016-05-25 00:00:00.000,6371,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:45:58.147,NULL,1,0
90,5,2,「我不做，誰做？」 談家庭照顧者的迷思,c0950502-1d35-4d32-b21e-8b1e732d24f2.jpg,2016-05-25 00:00:00.000,20671,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:46:24.583,NULL,1,0
91,1,5,長期照護是拿命來換的工作 政府說沒錢，人民怎麼辦？,584abeb8-1fac-4c43-abbb-8b9eacbef0b9.jpg,2016-05-25 00:00:00.000,13691,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:46:50.147,NULL,1,0
92,2,2,生命的秘境－我如何克服面對死亡的恐懼呢？－諮商心理師 陳乃綾,c1bb2d42-6a76-4e77-a0ac-bbf3ada1ff0a.jpg,2016-05-25 00:00:00.000,9101,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:47:05.193,NULL,1,0
93,5,6,護理之家、養護機構、安養機構差異在哪裡？一張圖表告訴你,adac6cf3-bf3f-48c6-b226-d6da90cd7ce4.jpg,2016-05-27 00:00:00.000,318080,NULL,NULL,NULL,NULL,1,系統管理員,2019-04-01 16:31:04.807,NULL,1,0
94,5,3,鼻胃管約束了手，也綑綁了病人的尊嚴,16af9e72-1320-4e4e-a262-1546dbec192f.jpg,2016-05-27 00:00:00.000,19119,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:48:23.317,NULL,1,0
95,5,3,誰來照顧最好？阿嬤真的喜歡輪流住子女家嗎？,4523eca2-77c0-4537-8aee-0451b8dc9a97.jpg,2016-05-27 00:00:00.000,23252,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:51:28.990,NULL,1,0
96,5,2,照顧難纏的家人讓你忍無可忍？觀心5寶教你擺脫壞情緒,53332056-9335-42f6-afb2-782ce77ec83b.jpg,2016-05-27 00:00:00.000,12374,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:51:45.693,NULL,1,0
97,5,1,年輕不顧家，老了沒人顧,ebe6eab1-12af-4670-abb8-1f52f695f93f.jpg,2016-05-27 00:00:00.000,52018,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:52:05.067,NULL,1,0
98,5,2,不要再說安寧就是放棄治療了！有關安寧療護的10個快速解答,4fa404da-fe7c-4077-9d9f-be2bd56cd2b6.jpg,2016-05-27 00:00:00.000,156533,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:52:27.257,NULL,1,0
99,2,2,「當初，是我簽下爸爸的放棄急救意願書。」請不要責怪勇敢的自己－諮商心理師 陳乃綾,5ecc8160-9348-46c4-adbf-d523b9fda500.jpg,2016-05-27 00:00:00.000,24109,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:52:43.787,NULL,1,0
100,13,5,沈政男醫師－全民長保0.5勝過十年長照2.0,a8959635-dfbc-4f83-90e5-60e258acdf3e.jpg,2016-05-27 00:00:00.000,7282,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:53:04.257,NULL,1,0
101,13,5,沈政男醫師－還沒學會照顧失智老人家 先容許他們把自己餓渴死,2b4cf68e-5b67-4bc5-8b93-edf58c3fa00e.jpg,2016-05-27 00:00:00.000,14158,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:53:20.100,NULL,1,0
102,13,5,沈政男醫師－長照重擔經常落在身心狀況最差的家屬肩頭,ec510027-e9c2-44e3-aab5-352fe59447cb.jpg,2016-05-27 00:00:00.000,10854,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:53:59.350,NULL,1,0
103,13,5,沈政男醫師－照顧殺人多出自孝子孝女之手,a2461cb5-bc0f-4820-8858-e62d79477c15.jpg,2016-05-27 00:00:00.000,33335,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:53:39.507,NULL,1,0
104,5,6,公共托老中心（日照中心）很貴嗎？政府補助別錯過,A__AoDD9862sZsHIIdCZ4Scg2UOaofLwb.jpg,2016-05-27 00:00:00.000,319078,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 20:54:15.663,NULL,1,0
